section,setting,code,value,applies_to,notes
Basic Settings,League Name,,Practice Draft for STOGA PIONEERS,,
Basic Settings,Scoring Type,,Head to Head Points,League,Point Per Reception
Basic Settings,Teams in League,,8,League,
Roster,Quarterback,QB,1,Starting lineup,
Roster,Running Back,RB,3,Starting lineup,
Roster,Wide Receiver,WR,3,Starting lineup,
Roster,Tight End,TE,2,Starting lineup,
Roster,Offensive Player Utility,OP,1,Starting lineup,
Roster,Defensive Player Utility,DP,2,Starting lineup,
Roster,Place Kicker,K,1,Starting lineup,
Roster,Punter,P,1,Starting lineup,
Roster,Head Coach,HC,1,Starting lineup,
Roster,Bench,BE,9,Reserve,
Roster,Injured Reserve,IR,2,Reserve,
Roster,Flex,FLEX,3,Starting lineup,
Scoring - Passing,Passing Yards,PY,0.04,QB,
Scoring - Passing,TD Pass,PTD,6,QB,
Scoring - Passing,Interceptions Thrown,INTT,-2,QB,
Scoring - Passing,2pt Passing Conversion,2PC,2,QB,
Scoring - Rushing,Rushing Yards,RY,0.1,QB/RB/WR/TE,
Scoring - Rushing,TD Rush,RTD,6,QB/RB/WR/TE,
Scoring - Rushing,Rushing First Down,RFD,1,QB/RB/WR/TE,
Scoring - Rushing,2pt Rushing Conversion,2PR,2,QB/RB/WR/TE,
Scoring - Receiving,Receiving Yards,REY,0.1,QB/RB/WR/TE,
Scoring - Receiving,Each reception,REC,1,QB/RB/WR/TQB,
Scoring - Receiving,Each reception,REC,1.5,TE,
Scoring - Receiving,TD Reception,RETD,6,QB/RB/WR/TE,
Scoring - Receiving,Receiving First Down,REFD,1,QB/RB/WR/TE,
Scoring - Receiving,2pt Receiving Conversion,2PRE,2,QB/RB/WR/TE,
Scoring - Kicking,Each PAT Made,PAT,1,K,
Scoring - Kicking,Each PAT Missed,PATM,-6,K,
Scoring - Kicking,FG Made 40-49 yards,FG40,1,K,
Scoring - Kicking,FG Missed 0-39 yards,FGM0,-4,K,
Scoring - Kicking,FG Missed 40-49 yards,FGM40,-2,K,
Scoring - Kicking,FG Missed 50-59 yards,FGM50,-1,K,
Scoring - Kicking,FG Made 50-59 yards,FG50,3,K,
Scoring - Kicking,FG Made 60+ yards,FG60,6,K,
Scoring - Kicking,FG Made Yards,FGY,0.1,K,
Scoring - Miscellaneous,Kickoff Return Yards,KR,0.1,All,
Scoring - Miscellaneous,Punt Return Yards,PR,0.1,All,
Scoring - Miscellaneous,Kickoff Return TD,KRTD,6,All,
Scoring - Miscellaneous,Punt Return TD,PRTD,6,All,
Scoring - Miscellaneous,Fumble Recovered for TD,FTD,6,All,
Scoring - Miscellaneous,Total Fumbles Lost,FUML,-2,All,
Scoring - Miscellaneous,Interception Return TD,INTTD,6,All,
Scoring - Miscellaneous,Fumble Return TD,FRTD,6,All,
Scoring - Miscellaneous,Blocked Punt or FG return for TD,BLKKRTD,6,All,
Scoring - Miscellaneous,2pt Return,2PRET,2,All,
Scoring - Miscellaneous,1pt Safety,1PSF,1000,All,Highly unusual value; verify intentional
Scoring - Defensive Players,Each Sack,SK,6,IDP,
Scoring - Defensive Players,Blocked Punt PAT or FG,BLKK,6,IDP,
Scoring - Defensive Players,Each Interception,INT,8,IDP,
Scoring - Defensive Players,Each Fumble Recovered,FR,3,IDP,
Scoring - Defensive Players,Each Fumble Forced,FF,5,IDP,
Scoring - Defensive Players,Each Safety,SF,6,IDP,
Scoring - Defensive Players,Assisted Tackles,TKA,0.5,IDP,
Scoring - Defensive Players,Solo Tackles,TKS,1,IDP,
Scoring - Defensive Players,Stuffs,STF,2.5,IDP,
Scoring - Defensive Players,Passes Defensed,PD,3,IDP,
Scoring - Head Coach,Team Win,TW,0,HC,
Scoring - Head Coach,Team Loss,TL,0,HC,
Scoring - Head Coach,Team Tie,TIE,0,HC,
Scoring - Head Coach,25+ point Win Margin,WM25,10,HC,
Scoring - Head Coach,20-24 point Win Margin,WM20,8,HC,
Scoring - Head Coach,20-24 point Loss Margin,LM20,0,HC,
Scoring - Head Coach,25+ point Loss Margin,LM25,0,HC,
Scoring - Punting,Punt Yards,PTY,0.04,P,
Scoring - Punting,Punts Inside the 10,PT10,3,P,
Scoring - Punting,Punts Inside the 20,PT20,2,P,
Scoring - Punting,Punt Average 44.0+,PTA44,3,P,
Scoring - Punting,Punt Average 42.0-43.9,PTA42,2,P,
Scoring - Punting,Punt Average 40.0-41.9,PTA40,1,P,
League Rules,Player Universe,,NFL,League,
