overall_pick,round,round_pick,team,player,position
1,1,1,Yall E10,Josh Allen,QB
2,1,2,Forgibbs and Gar-rett,Lamar Jackson,QB
3,1,3,alex hater,Jayden Daniels,QB
4,1,4,Burrow Me in Cotton,Jahmyr Gibbs,RB
5,1,5,She Jaxon my Smith til I Njigba,Ja'Marr Chase,WR
6,1,6,She Alvin on my Lamb til I Goff,Jaxon Smith-Njigba,WR
7,1,7,oh-DUNE-nay,Bijan Robinson,RB
8,1,8,Calvinball,Puka Nacua,WR
9,2,1,Calvinball,Amon-Ra St. Brown,WR
10,2,2,oh-DUNE-nay,Christian McCaffrey,RB
11,2,3,She Alvin on my Lamb til I Goff,Jalen Hurts,QB
12,2,4,She Jaxon my Smith til I Njigba,CeeDee Lamb,WR
13,2,5,Burrow Me in Cotton,Jaxson Dart,QB
